id;headline;page_number;content;release_id
1;Buckinghamshire;39041;../fake-data/blob/hipster.txt;1
2;Licensed Cotton Shoes;21860;../fake-data/blob/hipster.txt;2
3;copy Directives;94921;../fake-data/blob/hipster.txt;3
4;Corner Cambridgeshire;1754;../fake-data/blob/hipster.txt;4
5;compress;72906;../fake-data/blob/hipster.txt;5
6;Home Loan Account maroon;68453;../fake-data/blob/hipster.txt;6
7;e-business microchip fuchsia;25864;../fake-data/blob/hipster.txt;7
8;Fresh leverage;84854;../fake-data/blob/hipster.txt;8
9;Tunisia invoice;95839;../fake-data/blob/hipster.txt;9
10;Persistent alliance;29186;../fake-data/blob/hipster.txt;10
